value,built,penalty,effectiveness,component,route,hub,disposition,target,loc,engines,trpc_fetch,charts,inputs,tables,pdf,ai,routed,linked,in_live,integrity_flags,gaps,upgrade_to_9_10
7.7,8.1,0.4,3.5,ClientReportGenerator,/portal/client-report-generator,Mortgage & Debt Elimination,EMBED — named tab,/portal/mortgage-killer,1227,,5,18,29,10,1,0,True,False,True,ts-nocheck,"type checking disabled on the file ; math inlined in the component — untestable, un-reusable, cannot be called by the AI brain ; invisible to the AI brain ; orphan URL — reachable only by typing it","extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.7,8.1,0.4,3.5,BulkGeneration,/portal/bulk-generation,Advisor Practice & Sales Enablement,EMBED — named tab,/portal/practice-command,756,api|taxBracketEngine,8,4,10,2,1,0,True,False,True,ts-nocheck,type checking disabled on the file ; invisible to the AI brain ; orphan URL — reachable only by typing it,"register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.6,9.0,1.4,7.6,IbbotsonCharts,/portal/ibbotson-charts,Investments & Portfolio,EMBED — named tab,/portal/portfolio-command,1567,taxBracketEngine,7,16,6,12,1,0,True,True,True,ts-nocheck|literal-chart-data,"type checking disabled on the file ; chart is fed a literal array — the picture is decorative, not computed ; invisible to the AI brain",register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
7.6,8.0,0.4,3.4,SuccessionPlanningWizard,/portal/succession-planning,"Estate, Trust & Legacy",EMBED — named tab,/portal/estate-command,1073,taxBracketEngine,7,8,36,12,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.6,8.0,0.4,3.4,AnnuityMemory,/portal/annuity-memory,"Insurance, Annuity & Carrier",EMBED — named tab,/portal/carrier-command,987,annuityData,6,11,19,12,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.5,7.9,0.4,3.4,WebsiteUsage,/portal/website-usage,Reports & Deliverables,EMBED — named tab,/portal/reports,1722,,9,14,13,8,0,0,True,False,True,ts-nocheck,"type checking disabled on the file ; math inlined in the component — untestable, un-reusable, cannot be called by the AI brain ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it","extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.5,7.9,0.4,3.4,PolicyReview,/portal/policy-review,IUL & Policy Engineering,EMBED — named tab,/portal/time-machine-calculator,1622,taxBracketEngine,6,13,5,10,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; thin input surface — cannot model a real scenario ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.5,7.9,0.4,3.4,AdvisorIncomeCalculator,/portal/advisor-income-calculator,Advisor Practice & Sales Enablement,EMBED — named tab,/portal/practice-command,1475,taxBracketEngine,5,16,2,6,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; thin input surface — cannot model a real scenario ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.5,7.9,0.4,3.4,AdvisorDirectory,/portal/advisor-directory,Advisor Practice & Sales Enablement,EMBED — named tab,/portal/practice-command,1138,advisorySummaryData,7,12,7,12,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.5,7.9,0.4,3.4,PolicyLoans,/portal/policy-loans,Mortgage & Debt Elimination,EMBED — named tab,/portal/mortgage-killer,1066,ibbotsonModel|taxBracketEngine,7,12,7,14,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.4,7.8,0.4,7.4,Clients,/portal/clients,Mortgage & Debt Elimination,EMBED — named tab,/portal/mortgage-killer,616,excelExport,12,7,15,2,0,0,True,True,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
7.3,7.7,0.4,3.3,AIPolicyReviewGap,/portal/ai-policy-review,IUL & Policy Engineering,EMBED — named tab,/portal/time-machine-calculator,1271,taxBracketEngine,6,13,3,2,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; thin input surface — cannot model a real scenario ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.3,8.7,1.4,7.3,IULvsRoth,/portal/iul-vs-roth,Tax Strategy,EMBED — named tab,/portal/tax-command,1161,ibbotsonModel|taxBracketEngine,7,10,15,10,1,0,True,True,True,ts-nocheck|literal-chart-data,"type checking disabled on the file ; chart is fed a literal array — the picture is decorative, not computed ; invisible to the AI brain",register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
7.3,7.3,0.0,7.3,ChainBuilder,/portal/chain,Cross-Cutting Reference Library,EMBED — named tab,/portal/library,357,chainEngine|chainStore|macroEngine|ultraEngine,4,0,15,8,1,0,True,True,True,,no visualisation of the outcome ; invisible to the AI brain,add projection + sensitivity + comparison charts ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
7.2,7.6,0.4,3.2,HouseholdWealth,/portal/household-wealth,Client Management & CRM,EMBED — named tab,/portal/clients,1451,householdWealth|taxBracketEngine,3,19,28,6,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.2,7.6,0.4,3.2,PremiumFinancing,/portal/premium-financing,IUL & Policy Engineering,EMBED — named tab,/portal/time-machine-calculator,1241,ibbotsonModel|monteCarloEngine|taxBracketEngine,1,12,12,14,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.2,8.6,1.4,3.2,IndexStrategyComparison,/portal/index-strategies,Investments & Portfolio,EMBED — named tab,/portal/portfolio-command,1111,taxBracketEngine,6,12,9,8,1,0,True,False,True,ts-nocheck|literal-chart-data,"type checking disabled on the file ; chart is fed a literal array — the picture is decorative, not computed ; invisible to the AI brain ; orphan URL — reachable only by typing it","register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.1,7.5,0.4,3.2,FinancialVitalsScorecard,/portal/financial-vitals,Reports & Deliverables,EMBED — named tab,/portal/reports,1353,,7,15,17,2,1,0,True,False,True,ts-nocheck,type checking disabled on the file ; no real computation — display-only ; invisible to the AI brain ; orphan URL — reachable only by typing it,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.1,7.5,0.4,3.2,AthenePEPlus15,/portal/athene-pe-plus15,"Insurance, Annuity & Carrier",EMBED — named tab,/portal/carrier-command,1349,taxBracketEngine,6,12,0,12,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; thin input surface — cannot model a real scenario ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.1,7.5,0.4,3.2,PresentationBuilder,/portal/presentation-builder,Advisor Practice & Sales Enablement,EMBED — named tab,/portal/practice-command,1340,,6,12,14,12,1,0,True,False,True,ts-nocheck,type checking disabled on the file ; no real computation — display-only ; invisible to the AI brain ; orphan URL — reachable only by typing it,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.1,7.5,0.4,3.2,ComplianceExport,/portal/compliance,Compliance & Supervision,EMBED — named tab,/portal/compliance-center,1291,,10,15,18,2,1,0,True,False,True,ts-nocheck,type checking disabled on the file ; no real computation — display-only ; invisible to the AI brain ; orphan URL — reachable only by typing it,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.1,7.5,0.4,3.2,IncomeAnnuityTop10,/portal/income-annuity-top10,"Insurance, Annuity & Carrier",EMBED — named tab,/portal/carrier-command,963,annuityData|taxBracketEngine,5,13,5,6,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; thin input surface — cannot model a real scenario ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.1,7.1,0.0,7.1,AISlideGenerator,/portal/ai-slides,Advisor Practice & Sales Enablement,EMBED — named tab,/portal/practice-command,802,slideThemes,5,6,7,0,0,0,True,True,True,,no client-ready export ; invisible to the AI brain,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
7.1,7.5,0.4,7.1,StrategyLab,/portal/strategy,Scenario Lab & Comparison,EMBED — named tab,/portal/scenario-lab,501,taxBracketEngine,7,10,10,12,0,0,True,True,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
7.0,7.4,0.4,3.1,TeamManagement,/portal/team-management,Advisor Practice & Sales Enablement,EMBED — named tab,/portal/practice-command,1772,,10,17,17,10,0,0,True,False,True,ts-nocheck,"type checking disabled on the file ; math inlined in the component — untestable, un-reusable, cannot be called by the AI brain ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it","extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.0,7.4,0.4,3.1,RebalanceAlerts,/portal/rebalance,Investments & Portfolio,EMBED — named tab,/portal/portfolio-command,1641,,10,22,14,2,0,0,True,False,True,ts-nocheck,"type checking disabled on the file ; math inlined in the component — untestable, un-reusable, cannot be called by the AI brain ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it","extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.0,7.4,0.4,3.1,BatchIllustration,/portal/batch-illustration,IUL & Policy Engineering,EMBED — named tab,/portal/time-machine-calculator,1423,,8,12,20,12,0,0,True,False,True,ts-nocheck,"type checking disabled on the file ; math inlined in the component — untestable, un-reusable, cannot be called by the AI brain ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it","extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.0,7.4,0.4,3.1,LeadGenerator,/portal/lead-generator,Client Management & CRM,EMBED — named tab,/portal/clients,1404,,7,12,17,12,0,0,True,False,True,ts-nocheck,"type checking disabled on the file ; math inlined in the component — untestable, un-reusable, cannot be called by the AI brain ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it","extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.0,8.4,1.4,3.1,RetirementGuardrails,/portal/retirement-guardrails,Retirement Income & Drawdown,EMBED — named tab,/portal/ecological-drivers,1388,taxBracketEngine,6,15,18,12,0,0,True,False,True,ts-nocheck|literal-chart-data,"type checking disabled on the file ; chart is fed a literal array — the picture is decorative, not computed ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it","add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.0,8.6,1.6,7.0,ScenarioAdjustments,/portal/scenarios,Scenario Lab & Comparison,EMBED — named tab,/portal/scenario-lab,1308,taxBracketEngine,8,11,5,12,1,0,True,True,True,ts-nocheck|fabricated-constant,type checking disabled on the file ; carries invented constants marked Simplified/Assumed in place of real limits ; thin input surface — cannot model a real scenario ; invisible to the AI brain,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it"
7.0,7.4,0.4,3.1,CarrierQuotes,/portal/quotes,"Insurance, Annuity & Carrier",EMBED — named tab,/portal/carrier-command,1184,,10,12,8,4,1,0,True,False,True,ts-nocheck,"type checking disabled on the file ; math inlined in the component — untestable, un-reusable, cannot be called by the AI brain ; invisible to the AI brain ; orphan URL — reachable only by typing it","extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.0,7.4,0.4,3.1,CryptoCurrencyCorner,/portal/crypto-corner,Investments & Portfolio,EMBED — named tab,/portal/portfolio-command,962,taxBracketEngine,3,20,4,10,1,0,True,False,True,ts-nocheck,type checking disabled on the file ; thin input surface — cannot model a real scenario ; invisible to the AI brain ; orphan URL — reachable only by typing it,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
6.9,7.3,0.4,3.1,OwnerOversight,/portal/owner-oversight,Business & Succession,EMBED — accordion section,/portal/business-command,1845,,10,14,10,10,0,0,True,False,True,ts-nocheck,"type checking disabled on the file ; math inlined in the component — untestable, un-reusable, cannot be called by the AI brain ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it","extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
6.9,8.3,1.4,3.1,EstateFlowChart,/portal/estate-flow,"Estate, Trust & Legacy",EMBED — accordion section,/portal/estate-command,1651,taxBracketEngine,6,15,10,6,0,0,True,False,True,ts-nocheck|literal-chart-data,"type checking disabled on the file ; chart is fed a literal array — the picture is decorative, not computed ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it","add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
6.9,8.3,1.4,3.1,TaxReturnUpload,/portal/tax-return-upload,Tax Strategy,EMBED — accordion section,/portal/tax-command,1275,taxBracketEngine,7,18,9,10,0,0,True,False,True,ts-nocheck|literal-chart-data,"type checking disabled on the file ; chart is fed a literal array — the picture is decorative, not computed ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it","add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
6.9,7.3,0.4,3.1,IncomeTimeline,/portal/income-timeline,Retirement Income & Drawdown,EMBED — accordion section,/portal/ecological-drivers,1087,taxBracketEngine,5,12,3,2,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; thin input surface — cannot model a real scenario ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
