component,route,plan_score,plan_verdict,plan_layer,plan_role,plan_parent,plan_tier,my_value,my_built,my_disposition,my_hub,defective,flags,plan_enhance,my_upgrade
SeminarGenerator,/portal/seminar-generator,10.0,KEEP-L1,L1 — Platform,PARENT,—,Client Sales Tool,5.4,6.8,EMBED — accordion section,Advisor Practice & Sales Enablement,False,literal-chart-data,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
StrategyCompare,,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Client Sales Tool,8.0,8.4,EMBED — named tab,Scenario Lab & Comparison,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
BeneficiaryOptimization,/portal/beneficiary-optimization,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,8.0,8.4,EMBED — named tab,"Estate, Trust & Legacy",False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
EstateDocumentGenerator,/portal/estate-document-gen,10.0,KEEP-L1,L1 — Platform,TOGGLE,EstateFlowChart,Estate / Legacy,4.0,5.9,EMBED — reference card,"Estate, Trust & Legacy",True,frozen-chart,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
EstateFlowChart,/portal/estate-flow,10.0,KEEP-L1,L1 — Platform,PARENT,—,Estate / Legacy,6.9,8.3,EMBED — accordion section,"Estate, Trust & Legacy",False,literal-chart-data,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
EstateTax,/portal/estate-tax,10.0,KEEP-L1,L1 — Platform,PARENT,—,Estate / Legacy,6.0,6.4,EMBED — accordion section,Tax Strategy,False,,To 10: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
Integrations,/portal/integrations,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,6.6,7.0,EMBED — accordion section,"Admin, Ops & System",False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
MultiGenWealthTransfer,/portal/multi-gen-wealth,10.0,KEEP-L1,L1 — Platform,PARENT,—,Estate / Legacy,8.7,9.1,PROMOTE — hub / top nav,"Estate, Trust & Legacy",False,,To 10: add a discovery question to open the conversation.,"add branded PDF export with sources and method notes ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
RealEstateMogul,/portal/real-estate-mogul,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,5.7,8.3,EMBED — accordion section,Real Estate Intelligence,False,fabricated-constant|literal-chart-data,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
SlackIntegration,/portal/slack,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,5.1,5.5,EMBED — accordion section,"Admin, Ops & System",False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
AnnuityAccumulationDB,/portal/annuity-accumulation-db,10.0,KEEP-L1,L1 — Platform,TOGGLE,ExistingAnnuities,Guaranteed Income / Annuity,6.1,6.5,EMBED — accordion section,"Insurance, Annuity & Carrier",False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
AnnuityMemory,/portal/annuity-memory,10.0,KEEP-L1,L1 — Platform,TOGGLE,ExistingAnnuities,Guaranteed Income / Annuity,7.6,8.0,EMBED — named tab,"Insurance, Annuity & Carrier",False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
ExistingAnnuities,/portal/existing-annuities,10.0,KEEP-L1,L1 — Platform,PARENT,—,Guaranteed Income / Annuity,4.8,6.2,EMBED — reference card,"Insurance, Annuity & Carrier",False,literal-chart-data,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
FIATop10,/portal/fia-top10,10.0,KEEP-L1,L1 — Platform,TOGGLE,ExistingAnnuities,Guaranteed Income / Annuity,6.6,8.0,EMBED — accordion section,"Insurance, Annuity & Carrier",False,literal-chart-data,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
GrowthAnnuities,/portal/growth-annuities,10.0,KEEP-L1,L1 — Platform,TOGGLE,ExistingAnnuities,Guaranteed Income / Annuity,6.7,7.1,EMBED — accordion section,"Insurance, Annuity & Carrier",False,,To 10: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it"
IncomeAnnuityTop10,/portal/income-annuity-top10,10.0,KEEP-L1,L1 — Platform,TOGGLE,WithdrawalSequencing,Guaranteed Income / Annuity,7.1,7.5,EMBED — named tab,"Insurance, Annuity & Carrier",False,,To 10: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
EcologicalDrivers,/portal/ecological-drivers,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,IUL Core,4.5,5.9,EMBED — reference card,Retirement Income & Drawdown,False,literal-chart-data,To 10: tie the output explicitly to an IUL solution.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
IULHistoricalPerformance,/portal/iul-historical,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,IUL Core,8.0,8.4,EMBED — named tab,IUL & Policy Engineering,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
IULvsRoth,/portal/iul-vs-roth,10.0,KEEP-L1,L1 — Platform,TOGGLE,RothConversionSTR,IUL Core,7.3,8.7,EMBED — named tab,Tax Strategy,False,literal-chart-data,To 10: add a discovery question to open the conversation.,"register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
LivingBenefitsProbability,/portal/living-benefits,10.0,KEEP-L1,L1 — Platform,PARENT,—,IUL Core,2.1,2.5,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
PolicyLoans,/portal/policy-loans,10.0,KEEP-L1,L1 — Platform,TOGGLE,PolicyReviewChecklist,IUL Core,7.5,7.9,EMBED — named tab,Mortgage & Debt Elimination,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
AIPolicyReviewGap,/portal/ai-policy-review,10.0,KEEP-L1,L1 — Platform,TOGGLE,PolicyReviewChecklist,Insurance (other),7.3,7.7,EMBED — named tab,IUL & Policy Engineering,False,,To 10: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
PolicyReview,/portal/policy-review,10.0,KEEP-L1,L1 — Platform,TOGGLE,PolicyReviewChecklist,Insurance (other),7.5,7.9,EMBED — named tab,IUL & Policy Engineering,False,,To 10: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
PolicyReviewChecklist,/portal/policy-review-checklist,10.0,KEEP-L1,L1 — Platform,PARENT,—,Insurance (other),5.5,5.9,EMBED — accordion section,IUL & Policy Engineering,False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
CaptiveInsuranceIUL,/portal/captive-iul,10.0,KEEP-L1,L1 — Platform,PARENT,—,Large-Case Structure,2.5,2.9,UPGRADE or fold into library,IUL & Policy Engineering,False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
FIACollateralStrategy,/portal/fia-collateral,10.0,KEEP-L1,L1 — Platform,TOGGLE,PremiumFinancing,Premium Financing / Leverage,4.2,4.6,EMBED — reference card,"Insurance, Annuity & Carrier",False,,To 10: wire it to live client/carrier data.,"add a tRPC procedure so scenarios save against the client record ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
PremiumFinancing,/portal/premium-financing,10.0,KEEP-L1,L1 — Platform,PARENT,—,Premium Financing / Leverage,7.2,7.6,EMBED — named tab,IUL & Policy Engineering,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
PremiumFinancingArbitrage,/portal/premium-financing-arbitrage,10.0,KEEP-L1,L1 — Platform,TOGGLE,PremiumFinancing,Premium Financing / Leverage,2.5,2.9,UPGRADE or fold into library,IUL & Policy Engineering,False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
ReverseHeloc,/portal/reverse-heloc,10.0,KEEP-L1,L1 — Platform,PARENT,—,Premium Financing / Leverage,6.4,6.8,EMBED — accordion section,Mortgage & Debt Elimination,False,,To 10: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
ReverseMortgageCalc,/portal/reverse-mortgage,10.0,KEEP-L1,L1 — Platform,TOGGLE,ReverseHeloc,Premium Financing / Leverage,0.5,1.9,UPGRADE or fold into library,Mortgage & Debt Elimination,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MedicareIRMAA,/portal/medicare-irmaa,10.0,KEEP-L1,L1 — Platform,PARENT,—,Tax / Income Lever,8.0,8.4,EMBED — named tab,Tax Strategy,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
RothConversionSTR,/portal/roth-conversion,10.0,KEEP-L1,L1 — Platform,PARENT,—,Tax / Income Lever,8.5,8.9,PROMOTE — hub / top nav,Tax Strategy,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
TaxAdvantagedGrowth,/portal/retirement-projection,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,6.5,7.9,EMBED — accordion section,Tax Strategy,False,literal-chart-data,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
TaxBracketVisualizer,/portal/tax-brackets,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,8.0,8.4,EMBED — named tab,Tax Strategy,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
TaxLossHarvestingScanner,/portal/tax-loss-harvesting,10.0,KEEP-L1,L1 — Platform,PARENT,—,Tax / Income Lever,8.0,8.4,EMBED — named tab,Tax Strategy,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
TaxOpportunityDetector,/portal/tax-opportunities,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,7.7,8.1,EMBED — named tab,Tax Strategy,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
TaxReturnUpload,/portal/tax-return-upload,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,6.9,8.3,EMBED — accordion section,Tax Strategy,False,literal-chart-data,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
TaxWaterfall,/portal/tax-waterfall,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,6.5,6.9,EMBED — accordion section,Tax Strategy,False,,To 10: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it"
WithdrawalSequencing,/portal/withdrawal-sequencing,10.0,KEEP-L1,L1 — Platform,PARENT,—,Tax / Income Lever,4.6,7.7,EMBED — reference card,Retirement Income & Drawdown,True,frozen-chart|fabricated-constant,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
PrivatePlacementLifeInsurance,/portal/ppli,9.7,KEEP-L1,L1 — Platform,PARENT,—,Large-Case Structure,0.5,2.1,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
VideoProposalGenerator,/portal/video-proposals,9.6,KEEP-L1,L1 — Platform,TOGGLE,SeminarGenerator,Client Sales Tool,4.3,4.7,EMBED — reference card,Reports & Deliverables,False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
BusinessValuationCalc,/portal/business-valuation,9.5,KEEP-L1,L1 — Platform,PARENT,—,Business Owner / Entity,0.5,1.9,FIX FIRST — defective output,Business & Succession,True,undeclared-var,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
BuySellFundingCalc,/portal/buy-sell-funding,9.5,KEEP-L1,L1 — Platform,PARENT,—,Business Owner / Entity,1.5,1.9,UPGRADE or fold into library,Business & Succession,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
DeferredCompCalc,/portal/deferred-compensation,9.5,KEEP-L1,L1 — Platform,PARENT,—,Business Owner / Entity,1.5,1.9,UPGRADE or fold into library,Business & Succession,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
EntityComparisonCalc,/portal/entity-comparison,9.5,KEEP-L1,L1 — Platform,STANDALONE,—,Business Owner / Entity,1.5,1.9,UPGRADE or fold into library,Business & Succession,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
InstallmentSaleCalc,/portal/installment-sale,9.5,KEEP-L1,L1 — Platform,STANDALONE,—,Business Owner / Entity,0.5,1.9,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var|fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
KeyPersonInsuranceCalc,/portal/key-person-insurance,9.5,KEEP-L1,L1 — Platform,PARENT,—,Business Owner / Entity,1.5,1.9,UPGRADE or fold into library,Business & Succession,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
OverheadExpenseCalc,/portal/overhead-expense,9.5,KEEP-L1,L1 — Platform,PARENT,—,Business Owner / Entity,1.5,1.9,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SuccessionPlanCalc,/portal/succession-plan,9.5,KEEP-L1,L1 — Platform,TOGGLE,SuccessionPlanningWizard,Business Owner / Entity,0.5,2.3,FIX FIRST — defective output,"Estate, Trust & Legacy",True,undeclared-var,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MYGAFixedRate,/portal/myga-fixed-rate,9.5,KEEP-L1,L1 — Platform,TOGGLE,ExistingAnnuities,Guaranteed Income / Annuity,4.6,6.0,EMBED — reference card,"Insurance, Annuity & Carrier",False,literal-chart-data,To 10: wire it to live client/carrier data.,"add a tRPC procedure so scenarios save against the client record ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
Education529VsIULCalc,/portal/529-vs-iul,9.5,KEEP-L1,L1 — Platform,PARENT,—,IUL Core,0.5,1.9,FIX FIRST — defective output,Scenario Lab & Comparison,True,undeclared-var|fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
EmergencyFundVsIULCalc,/portal/emergency-fund-vs-iul,9.5,KEEP-L1,L1 — Platform,STANDALONE,—,IUL Core,0.5,2.3,FIX FIRST — defective output,Scenario Lab & Comparison,True,undeclared-var,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
IULComplianceEngine,/portal/iul-compliance-engine,9.5,KEEP-L1,L1 — Platform,STANDALONE,—,IUL Core,2.5,2.9,UPGRADE or fold into library,Compliance & Supervision,False,,To 10: add a market-vs-IUL outcome chart.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
IULMaxFundedEngine,/portal/iul-max-funded,9.5,KEEP-L1,L1 — Platform,STANDALONE,—,IUL Core,1.3,2.9,UPGRADE or fold into library,IUL & Policy Engineering,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
InfinityBankingConcept,/portal/infinity-banking,9.5,KEEP-L1,L1 — Platform,STANDALONE,—,IUL Core,1.8,2.2,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MultiCarrierIULOptimizer,/portal/multi-carrier-iul,9.5,KEEP-L1,L1 — Platform,STANDALONE,—,IUL Core,2.1,2.5,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 10: add a market-vs-IUL outcome chart.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
TermVsWholeVsIULCalc,/portal/term-vs-whole-vs-iul,9.5,KEEP-L1,L1 — Platform,STANDALONE,—,IUL Core,0.5,1.9,UPGRADE or fold into library,Scenario Lab & Comparison,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
WholeLifeDividendEngine,/portal/whole-life-dividend,9.5,KEEP-L1,L1 — Platform,STANDALONE,—,IUL Core,1.0,2.4,UPGRADE or fold into library,IUL & Policy Engineering,False,literal-chart-data,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
HouseholdWealth,/portal/household-wealth,9.5,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,7.2,7.6,EMBED — named tab,Client Management & CRM,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
MortgageKiller,/portal/mortgage-killer,9.5,KEEP-L1,L1 — Platform,PARENT,—,Supporting Planning,9.2,9.6,PROMOTE — hub / top nav,Mortgage & Debt Elimination,False,,To 10: add a discovery question to open the conversation.,register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
RetirementIncomeProjection,/portal/retirement-projection,9.5,KEEP-L1,L1 — Platform,PARENT,—,Supporting Planning,6.7,8.3,EMBED — accordion section,Retirement Income & Drawdown,False,fabricated-constant,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
SuccessionValuation,/portal/succession-valuation,9.4,KEEP-L1,L1 — Platform,TOGGLE,SuccessionPlanningWizard,Business Owner / Entity,2.5,2.9,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
