"url","what","evidence_1_to_10","used_by","kind"
"https://seascapecapital.com","Seascape Capital — Note buyer, including partial purchases of payment streams.","6","shared/mechanismDossiers.ts#seller-wrap","provider-homepage"
"https://fred.stlouisfed.org","CPI, PMMS mortgage rates, Fed funds, M2, debt series","9","server/outsideForces.ts, server/rentalEnterprise.ts, server/erosionRouter.ts","live-data-source"
"https://www.fhfa.gov","House price index by zip","9","server/zipRouter.ts","live-data-source"
"https://www.zillow.com","ZHVI and ZORI by zip","9","server/zipRouter.ts","live-data-source"
"https://www.bls.gov","OEWS wages by occupation and state; CPI","9","server/careerData.ts, server/outsideForces.ts","live-data-source"
"https://nces.ed.gov","Tuition tables 330.10/330.20","9","server/careerData.ts","live-data-source"
"https://www.census.gov","Homeownership by age","9","server/outsideForces.ts","live-data-source"
"https://www.bea.gov","Car sales, GDP","9","server/outsideForces.ts","live-data-source"
"https://hazards.fema.gov","National Risk Index by county","9","server/rentalEnterprise.ts","live-data-source"
"https://www.ssa.gov","Period life tables","9","server/incomeForLifeRouter.ts, server/forecastSources.ts","live-data-source"
"https://www.cbo.gov","Long-term budget outlook","9","server/forecastSources.ts, server/taxSources.ts","live-data-source"
"https://gamma-api.polymarket.com","Prediction-market odds of control shifts","9","server/power.ts","live-data-source"
"https://unitedstates.github.io","Current members of Congress by party","9","server/power.ts","live-data-source"
"https://www.fjc.gov","Federal judges by appointing president","9","server/power.ts","live-data-source"
"https://api.coingecko.com","Crypto prices","9","server/routers.ts","live-data-source"
