Subject,Tool Name,GitHub URL,Stars,Quality Tier,Description,Category,User Request,Install Command,Error
Spell checker for code and documentation (like cspell or codespell),typos,https://github.com/crate-ci/typos,4.0k,Solid,Source code spell checker,Spell Checker,"\""I need a fast spell checker for my source code and documentation that avoids false positives.\""",cargo install typos-cli,
Changelog generator from git commits (like conventional-changelog or git-cliff),git-cliff,https://github.com/orhun/git-cliff,11.9k,Excellent,A highly customizable Changelog Generator that follows Conventional Commit specifications,DevOps,I need to automatically generate a changelog from my git commit history based on conventional commits,cargo install git-cliff,
Dependency vulnerability scanner (like Trivy or Snyk),trivy,https://github.com/aquasecurity/trivy,36.6k,Excellent,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",Security,"\""I need to scan my Docker images and Kubernetes manifests for known vulnerabilities and misconfigurations before deploying to production.\""",curl -sfL https://raw.githubusercontent.com/aquasecurity/trivy/main/contrib/install.sh | sh -s -- -b /usr/local/bin,
Container image builder without Docker daemon (like Buildah or Kaniko),kaniko,https://github.com/GoogleContainerTools/kaniko,15.8k,Excellent,Build container images from a Dockerfile inside a container or Kubernetes cluster without a Docker daemon.,DevOps,"\""I need to securely build Docker images inside my Kubernetes CI/CD pipeline without mounting the Docker daemon socket\""",docker pull gcr.io/kaniko-project/executor:latest,
Infrastructure as code tool (like Terraform or Pulumi),terraform,https://github.com/hashicorp/terraform,48.7k,Excellent,"Terraform enables you to safely and predictably create, change, and improve infrastructure.",DevOps,"\""I need to provision and manage AWS resources using declarative configuration files.\""",brew install terraform,
Secrets management tool (like SOPS or Vault),vault,https://github.com/hashicorp/vault,35.8k,Excellent,"A tool for secrets management, encryption as a service, and privileged access management",DevOps,"\""I need a secure way to store and manage API keys, passwords, and certificates for my microservices architecture.\""",brew tap hashicorp/tap && brew install hashicorp/tap/vault,
Feature flag management self-hosted (like Unleash or Flagsmith),unleash,https://github.com/Unleash/unleash,13.6k,Excellent,Open-source feature management platform,Feature Flags,"\""I need a self-hosted feature flag management system to gradually roll out new features to specific user segments.\""",docker compose up -d,
Uptime monitoring self-hosted (like Uptime Kuma),uptime-kuma,https://github.com/louislam/uptime-kuma,88.5k,Legendary,A fancy self-hosted monitoring tool,DevOps,"\""I need a self-hosted uptime monitoring tool to keep track of my servers and websites.\""",docker run -d --restart=always -p 3001:3001 -v uptime-kuma:/app/data --name uptime-kuma louislam/uptime-kuma:2,
Form backend self-hosted (like Formspree alternative - Formbricks),formbricks,https://github.com/formbricks/formbricks,12.4k,Excellent,Open-source Qualtrics alternative for building surveys and forms with self-hosting capabilities,Forms,"\""I need a self-hosted alternative to Formspree or Typeform to build surveys and collect user feedback without sending data to third parties\""",docker run -p 3000:3000 formbricks/formbricks,
Link shortener self-hosted (like Shlink or Dub),dub,https://github.com/dubinc/dub,23.7k,Excellent,The modern link attribution platform and self-hosted URL shortener loved by world-class marketing teams,Link Shortener,I need a self-hosted link shortener with advanced analytics and attribution tracking for my marketing campaigns,git clone https://github.com/dubinc/dub.git && cd dub && pnpm install,
