index,route,component,category,usefulnessScore,renderHealth,implementationLevel,recommendation,mergeTarget,confidence,sourceFile,rationale,instructions
12,/administrator,AdministratorPortal,public_or_auth,10,healthy,database_backed,Keep,,0.95,client/src/pages/AdministratorPortal.tsx,"The AdministratorPortal component is a fully functional, database-backed admin dashboard with real authentication and data fetching. It provides essential site management features without relying on simulated data for its core data.",Keep as is. Ensure backend API endpoints remain secure and aligned with the frontend expectations.
13,/executive,ExecutiveEntrance,public_or_auth,9,healthy,internet_backed,Keep,,0.95,client/src/pages/ExecutiveEntrance.tsx,"The page provides a clear authentication workflow for executives, calling a dedicated backend API (`/api/executive/login`) and managing session state via localStorage. It is a critical functional entry point with no obvious duplication or simulated behavior.",The page serves as an essential authentication gate for the advisor portal and should be kept as is. Ensure the backend `/api/executive/login` endpoint is robust and securely handles credentials.
14,/onboarding,Onboarding,public_or_auth,8,healthy,mixed_connected,Keep,,0.95,client/src/pages/portal/Onboarding.tsx,"The page is a highly detailed multi-step onboarding wizard with real persistence via tRPC mutations (e.g., `clients.create`) and AI recommendations. It manages extensive user state securely. The duplication across `/onboarding`, `/portal/onboarding`, and `/portal/welcome` appears to be a legitimate alias structure for varying entry points rather than accidental duplication.",Keep the page as it provides a comprehensive and connected client intake workflow. Consider consolidating the duplicate route aliases if they do not serve distinct auth contexts.
15,/portal/onboarding,Onboarding,client_workflow,9,healthy,database_backed,Keep,,0.95,client/src/pages/portal/Onboarding.tsx,"The page implements a comprehensive 7-step client onboarding wizard that is database-backed, connecting to tRPC mutations (clients.create, onboardingWizardV2.getRecommendation) and queries (lifeGoals.getSuggestions). It has real persistence and robust user state management. The route shares its source component with '/onboarding' and '/portal/welcome', which serve as legitimate aliases for the same workflow.",Keep the onboarding flow as it is an essential differentiated workflow. Ensure that the aliases '/onboarding' and '/portal/welcome' are properly maintained and redirect to the same underlying component without causing duplicate maintenance.
16,/portal/welcome,OnboardingWizard,portal_other,8,healthy,database_backed,Keep,,0.9,client/src/pages/portal/OnboardingWizard.tsx,"The page provides a comprehensive multi-step onboarding wizard with real backend persistence via trpc.clients.create.useMutation. It shares its source with /onboarding and /portal/onboarding, which are likely legitimate aliases for the same workflow.",Keep the page as it provides a critical workflow. Consider consolidating the aliases if they are not all needed for specific legal or auth reasons.
17,/portal,InfiniteScroll,portal_other,6,healthy,database_backed,Improve,,0.95,client/src/pages/portal/InfiniteScroll.tsx,"The page implements a TikTok-style vertical feed using tRPC queries for data and mutations for interactions, making it database-backed. The CTA button is simulated with a 'Feature coming soon' toast, reducing its usefulness. The route shares a component with /portal/wealth-reels and /portal/infinite-scroll, which appears to be a legitimate alias rather than accidental duplication.",Implement the CTA button functionality instead of the hardcoded 'Feature coming soon' toast. Ensure the infinite scroll feed is fully integrated with the backend for all user interactions.
18,/portal/dashboard,Dashboard,portal_other,10,healthy,database_backed,Keep,,0.95,client/src/pages/portal/Dashboard.tsx,"The dashboard is highly functional and clearly database-backed, executing 10 trpc queries to fetch real metrics, planning cases, analytics, net worth, activity, top clients, allocations, goals, meetings, and coaching prompts. It uses sophisticated data formatting, filtering, and charts (Recharts) to present a comprehensive view of the practice. There are no simulated timers, random values, or placeholder terms, and it explicitly states it only shows real saved records.",Keep as the primary dashboard. The error handling for failed trpc queries should be reviewed to ensure it degrades gracefully if a single query fails.
19,/portal/advisory-summary,AdvisorySummary,portal_other,4,healthy,static_reference,Move to Secondary Information,,0.95,client/src/pages/portal/AdvisorySummary.tsx,"The page heavily relies on static data imported from `@shared/advisorySummaryData`. Although several tRPC hooks are present, their results are never used in the component, indicating simulated or placeholder backend behavior.",Remove unused tRPC queries and move the page to a secondary information section or documentation portal. Ensure the static data is maintained if it serves as a reference.
20,/portal/advisor-directory,AdvisorDirectory,portal_other,3,healthy,prototype,Move to Secondary Information,,0.95,client/src/pages/portal/AdvisorDirectory.tsx,"The page calls 7 tRPC queries but never uses their returned data, relying instead on extensive hardcoded static arrays for charts and client-side state. It is a highly presentation-heavy prototype with no real backend integration or meaningful persistence.",Move this page to Secondary Information since it is heavily presentation-focused and relies entirely on hardcoded state and mock data. Remove unused tRPC hooks to clean up the component.
21,/portal/clients,Clients,client_workflow,9,healthy,database_backed,Keep,,0.95,client/src/pages/portal/Clients.tsx,"The page implements a comprehensive client management dashboard with robust features including adding clients, bulk CSV imports, tag management, and risk scoring analytics. It relies on multiple tRPC queries and mutations for real persistence and strong user states, demonstrating essential differentiated workflow without significant simulation or duplication.",Continue to maintain and extend this page as the primary client management workflow. Ensure that tRPC endpoints are optimized for performance as the client list grows.
22,/portal/clients/:id,ClientDetail,client_workflow,9,healthy,database_backed,Keep,,0.95,client/src/pages/portal/ClientDetail.tsx,"The page is highly complex (1524 lines) and clearly database-backed, featuring 16 tRPC queries and 17 mutations for real persistence (e.g., properties, crypto holdings, risk assessment). It has comprehensive user states including 27 loading states, 30 error states, and 23 empty states, making it an essential workflow.",Review hardcoded success toasts to ensure they accurately reflect server responses. Verify if any placeholder terms can be replaced with real data.
23,/portal/pipeline,Pipeline,portal_other,10,healthy,database_backed,Keep,,0.95,client/src/pages/portal/Pipeline.tsx,"The page features a fully functional pipeline with Kanban, Table, and Forecast views, drag-and-drop interactions, and deal management. It is directly backed by a robust set of tRPC endpoints for querying clients and managing pipeline deals, indicating real persistence and strong user states.",This page provides essential CRM workflow features. Keep it as a core part of the portal.
24,/portal/strategy,StrategyLab,portal_other,6,healthy,mixed_connected,Improve,,0.9,client/src/pages/portal/StrategyLab.tsx,"The StrategyLab page provides significant financial calculations like Roth ladder, IUL projection, and real estate depreciation. It connects to the backend (tRPC queries/mutations) and calculates complex logic, but it includes many simulated/mock UI elements (e.g., 'Click 1', 'Tab 11', 'Chart 1', mockData) and excessive placeholder content that clutters the UI and reduces usefulness.","Remove the excessive mock data, placeholder buttons, and simulated charts that clutter the page. Ensure the page only displays real data and functional tabs based on the calculated strategy results."
25,/portal/ai,AiAssist,ai_workflow,7,healthy,mixed_connected,Improve,,0.95,client/src/pages/portal/AiAssist.tsx,"The page uses real tRPC endpoints for fetching clients, generating AI strategies, and searching knowledge, demonstrating backend connectivity. However, significant parts of the analytics, reports, and settings tabs rely on hardcoded data, `Math.random()` generated values, and toast-only simulated actions, making it a mixed implementation.",Replace the randomized `Math.random()` values in the analytics and reports charts/tables with actual data from the backend. Implement the settings and integration sync actions with real API calls instead of just showing success toasts.
26,/portal/ai-assist,AiAssist,ai_workflow,7,healthy,mixed_connected,Improve,,0.95,client/src/pages/portal/AiAssist.tsx,"The page offers an essential AI strategy workflow with real server connections for generating and saving strategies. However, the analytics, reports, and settings tabs are largely simulated with hardcoded data and fake toast notifications. The route shares a component with /portal/ai, which serves as a legitimate alias.",Connect the Analytics and Reports tabs to real backend endpoints instead of using Math.random() and hardcoded arrays. Remove fake toast notifications in the Settings tab and wire them up to actual user preference mutations.
27,/portal/team,Team,portal_other,7,healthy,mixed_connected,Improve,,0.9,client/src/pages/portal/Team.tsx,"The page contains genuine database-backed functionality for team management (inviting, updating roles, removing members) via tRPC mutations and queries. However, it also includes over 500 lines of unused, purely simulated components (TeamDirectoryAdvanced, TeamPerformanceDetailed, ExtraComponent1-3) with hardcoded arrays and mock data that are never rendered.","Remove the unused simulated components (TeamDirectoryAdvanced, TeamPerformanceDetailed, and ExtraComponents) and keep only the database-backed team management functionality. Move any useful UI patterns from the simulated components to the main component if needed."
28,/portal/billing,Billing,portal_other,6,healthy,mixed_connected,Improve,,0.95,client/src/pages/portal/Billing.tsx,"The page implements real tRPC mutations for Stripe checkout and portal sessions, but heavily relies on hardcoded fallback data for invoices, team members, and charts. It also includes a dummy content renderer designed to artificially inflate component metrics. There are no duplicate source routes.","Remove the artificial renderDummyContent function used to inflate line counts. Fully wire the hardcoded fallback arrays (invoices, team members, recent activity, usage charts) to their respective backend tRPC queries."
29,/portal/knowledge,Knowledge,reference_education,9,healthy,database_backed,Keep,,0.95,client/src/pages/portal/Knowledge.tsx,"The source code uses tRPC for real backend mutations (create, upload) and queries (list), proving it is fully database-backed and not a prototype. It features complex UI interactions including file uploads, forms, and charts, making it a high-value essential workflow.",Maintain the current feature set and continue building out the knowledge capabilities. No immediate action required as the page is fully functional.
30,/portal/leaderboard,Leaderboard,portal_other,7,healthy,mixed_connected,Improve,,0.95,client/src/pages/portal/Leaderboard.tsx,"The page has multiple tRPC queries (e.g., topProducers, fastestClimbers, getProfile) and mutations for setting up a profile and monthly consent, suggesting it is connected to a backend. However, the 'Team Pulse' tab contains entirely hardcoded data (e.g., '24 Active advisors today', '7 Deals closed this week', and a static array of activity events). The page serves a useful purpose for gamification but requires backend completion for the pulse section.",Remove hardcoded values in the Team Pulse section and connect it to a real activity feed backend. Verify that the competitionBoard and leaderboard tRPC routers are fully implemented and connected to a database.
31,/portal/scenarios,ScenarioAdjustments,portal_other,8,healthy,mixed_connected,Keep,,0.9,client/src/pages/portal/ScenarioAdjustments.tsx,"The page has significant real backend integration with 5 tRPC queries and 3 mutations, and features 27 charts across 1307 lines of code. However, it relies on simulated timers, random values, and hardcoded success toasts, indicating mixed implementation.",Replace simulated timers and random values with real backend data. Remove hardcoded success toasts and connect them to actual mutation responses.
32,/portal/advisor-chat,AdvisorChat,ai_workflow,7,healthy,mixed_connected,Improve,,0.85,client/src/pages/portal/AdvisorChat.tsx,"The AdvisorChat page has substantial functionality with 1364 lines of code, 7 tRPC queries, and 1 tRPC mutation, indicating some backend connectivity. However, it relies heavily on mock data (MOCK_SCENARIOS, MOCK_PORTFOLIO, MOCK_TAX_STRATEGIES) and includes simulated timers and random values, making it a mixed connected implementation rather than a fully database-backed one. There are no same-source route duplications.",Replace mock data and simulated timers with actual backend integrations. Ensure the single tRPC mutation is fully connected to the database rather than just simulating state changes.
33,/portal/stale-digest,StaleDigest,portal_other,4,healthy,mixed_connected,Move to Secondary Information,,0.95,client/src/pages/portal/StaleDigest.tsx,"The page connects to multiple tRPC endpoints (staleDigest, activity, team, dashboard) and has a working email mutation. However, it extensively simulates core business data client-side using Math.random() for portfolio sizes, AUM, returns, and engagement scores, making it a presentation-heavy prototype despite the backend connection.","Remove client-side data simulation and wire the table and charts directly to real backend data. If the backend cannot support these metrics, the page should be moved to Secondary Information until real data is available."
34,/portal/webhooks,Webhooks,portal_other,6,healthy,mixed_connected,Improve,,0.95,client/src/pages/portal/Webhooks.tsx,"The page has real tRPC mutations for webhook CRUD and testing, proving it is connected to the backend. However, it relies heavily on random mock data for logs and analytics charts, and contains non-persisted static settings.","Replace mock data generators (e.g., generateMockLogs, generateActivityData) with real tRPC endpoints for logs and analytics. Remove hardcoded static stats in the endpoint table and ensure all settings toggles persist to the backend."
35,/portal/slack,SlackIntegration,portal_other,4,healthy,prototype,Move to Secondary Information,,0.9,client/src/pages/portal/SlackIntegration.tsx,"The page contains extensive hardcoded mock data (mockLogs, mockUsers, mockChannels, mockWebhooks, mockRules, mockIntegrations) and simulated metrics (activityData, channelData, eventTypeData, weeklyData). It is a presentation-heavy prototype with many empty tabs (""Other tabs implementation omitted for brevity""). It has some trpc queries and mutations, but the core content is simulated.","Move to Secondary Information as it is a presentation-heavy prototype with extensive hardcoded mock data. Consider merging useful real integration parts if they exist, but the current page is mostly simulated."
36,/portal/compliance,ComplianceExport,portal_other,6,healthy,mixed_connected,Improve,,0.85,client/src/pages/portal/ComplianceExport.tsx,"The page has extensive UI with multiple charts, tables, and export functions, but heavily relies on mocked data like MOCK_TIME_SERIES and Math.random() for visualizations. While it includes 10 tRPC queries and mutations (e.g., exportCsv, complianceData), the presentation layer is heavily simulated, indicating a mixed implementation that acts partially as a prototype.",Replace the extensive mocked data arrays and random number generators with actual backend metrics and ensure the chart components map directly to the tRPC query outputs. Review and integrate the backend endpoints fully to eliminate the simulated charts and states.
37,/portal/legal-payment-folder,LegalPaymentFolder,portal_other,4,healthy,mixed_connected,Move to Secondary Information,,0.95,client/src/pages/portal/LegalPaymentFolder.tsx,"The page queries tRPC endpoints for disclosures but is heavily padded with 78 console.log stubs, 60 Math.random values, and 33 simulated charts. It acts as a low-value presentation-heavy prototype with no real mutations or robust interactivity.",Move this page to Secondary Information until real backend mutations and actual metric data replace the dummy widgets and simulated charts.
38,/portal/rebalance,RebalanceAlerts,portal_other,7,healthy,mixed_connected,Improve,,0.9,client/src/pages/portal/RebalanceAlerts.tsx,"The page provides a comprehensive workflow for monitoring portfolio drift and managing rebalancing alerts. While it has real tRPC connections for alerts and actions, it still relies heavily on simulated data (Math.random) for its charts and trends.","Replace the simulated chart data generators (e.g., generateTrendData, generateRiskData) with real backend queries. Connect the remaining mock statistics to actual portfolio metrics to fully realize the page's value."
39,/portal/branding,WorkspaceBranding,portal_other,6,healthy,mixed_connected,Improve,,0.9,client/src/pages/portal/WorkspaceBranding.tsx,"The page successfully implements real database-backed persistence for workspace branding settings (colors, logo). However, it is cluttered with 31 charts and multiple tables that rely entirely on simulated mock data, making it presentation-heavy and partially a prototype.","Remove all mock data charts and tables to focus purely on the functional branding configuration. If those analytics are needed, they should be moved to a dedicated, database-backed dashboard route."
40,/portal/meetings,Meetings,portal_other,9,healthy,database_backed,Keep,,0.95,client/src/pages/portal/Meetings.tsx,"The Meetings component is a comprehensive, database-backed page with 679 lines of code. It heavily utilizes tRPC for data fetching (3 queries) and mutations (4 mutations), with strong state management and analytics (13 charts). There are no simulated timers or random values, indicating real server behavior.","Maintain the page as it provides essential workflow functionality for meetings. Consider adding forms for meeting creation instead of just relying on buttons, and review the use of hardcoded success toasts."
41,/portal/compliance-alerts,ComplianceAlerts,portal_other,7,healthy,mixed_connected,Improve,,0.9,client/src/pages/portal/ComplianceAlerts.tsx,"Page uses real trpc queries/mutations (stats, list, runCheck, dismiss, resolve, updateSettings) but mixes in heavy simulation for charts (trendData, resolutionTimeData, radarData use Math.random or hardcoded values). High volume of simulated chart data indicates partial implementation despite backend connections.",Review simulated data and replace with actual backend connections. Verify trpc queries and mutations handle all necessary state.
42,/portal/hubspot,HubSpotSync,portal_other,6,healthy,mixed_connected,Improve,,0.9,client/src/pages/portal/HubSpotSync.tsx,"The page uses real TRPC queries and mutations for settings and syncing, but relies heavily on mock data (Math.random, hardcoded arrays) for all its charts and analytics. This mixed implementation reduces its usefulness as a real production dashboard.","Replace the extensive mock data used for charts (daily stats, object stats, error stats, latency, performance) with real backend data from the TRPC queries. Ensure all analytics are driven by actual sync history rather than simulated arrays."
43,/portal/integrations,Integrations,portal_other,4,healthy,prototype,Improve,,0.9,client/src/pages/portal/Integrations.tsx,"The page is a high-effort prototype heavily reliant on simulated data and hardcoded values (`Math.random()`, `generateSyncLogs`, `INTEGRATIONS` array). While it defines `trpc` queries, it does not seem to use mutations for the forms, making it primarily a presentation layer.","Remove simulated random data and hardcoded states, and replace with actual backend integration. Connect the configuration forms to actual mutation endpoints."
44,/portal/roth-conversion,RothConversionSTR,portal_other,9,healthy,database_backed,Keep,,0.95,client/src/pages/portal/RothConversionSTR.tsx,"The page is highly complex and heavily integrated with the backend, utilizing 6 tRPC queries and 14 tRPC mutations for essential operations like client data retrieval, projections, and strategy saving. While it contains a few simulated elements (1 timer, 4 random values), these appear to be part of the Monte Carlo simulation or UI effects rather than core data mocking, confirming a database-backed implementation.","Maintain the page and its complex workflows, ensuring all tRPC integrations and Monte Carlo simulations are properly tested. Consider replacing any simulated timers or random values with robust server-side implementations if they represent business logic rather than pure UI effects."
45,/portal/strategy-compare,StrategyCompareTool,analysis_calculator,4,healthy,client_only,Move to Secondary Information,,0.95,client/src/pages/portal/StrategyCompareTool.tsx,"The page relies entirely on local JSON imports (`strategiesData` and `combosData`) with no tRPC queries or mutations, confirming it is client-only. While functional as a UI prototype for comparing strategies, its static nature makes it a low-value prototype in a production environment.",Move this static client-side comparison tool to Secondary Information since it lacks backend integration and relies entirely on local JSON files. Wait for owner approval before retiring or moving.
46,/portal/carrier-settings,CarrierSettings,portal_other,8,healthy,database_backed,Keep,,0.95,client/src/pages/portal/CarrierSettings.tsx,"The page is heavily connected to tRPC endpoints for fetching and mutating carrier settings, recommendations, and analytics. It contains extensive UI components like charts and buttons, making it a fully functional, database-backed settings page.",Maintain the current route as it provides essential backend-connected carrier settings functionality. Consider replacing placeholder terms and random values with real data sources.
47,/portal/bulk-generation,BulkGeneration,portal_other,9,healthy,database_backed,Keep,,0.95,client/src/pages/portal/BulkGeneration.tsx,"The page demonstrates robust backend connectivity via tRPC for scheduling, client data fetching, bulk operations, and exporting (PDF/CSV). It manages complex state effectively and uses realistic components, making it a highly useful tool.",The page is fully functional and well integrated with backend logic. Consider adding pagination or virtual scrolling for the client list to handle larger datasets smoothly.
48,/portal/quotes,CarrierQuotes,portal_other,7,healthy,mixed_connected,Improve,,0.95,client/src/pages/portal/CarrierQuotes.tsx,"The page features extensive real tRPC queries and mutations (e.g., `carrierQuotes.list`, `updateStatus`, `requestNew`), indicating solid backend connectivity. However, it also relies heavily on simulated data (`Math.random()`) for analytics, hardcoded success toasts, and placeholder UI elements, placing it firmly in the mixed_connected category.",Remove the hardcoded `Math.random()` data generation in the analytics view and replace it with actual backend aggregations. Ensure the placeholder tabs (Products and Performance) are either implemented with real data or hidden until ready.
49,/portal/index-backtester,IndexBacktester,analysis_calculator,4,healthy,mixed_connected,Improve,,0.85,client/src/pages/portal/IndexBacktester.tsx,The page is a functional prototype connected to some tRPC endpoints but relies heavily on mock data for charts. It operates as a mixed-connected page without full backend connectivity.,Connect the charts and tables to real backend data via tRPC. Remove hardcoded mock data.
50,/portal/ibbotson-charts,IbbotsonCharts,portal_other,7,healthy,client_only,Improve,,0.9,client/src/pages/portal/IbbotsonCharts.tsx,"The page uses a hardcoded dictionary (`SP500_RETURNS`) for all historical S&P 500 data and computes metrics client-side. While it calls some tRPC endpoints (`trpc.marketData.getHistoricalRates`, `trpc.strategy.getTemplates`, etc.), these query results are never used in the rendered charts or tables. The page provides a strong interactive workflow for scenario analysis but operates entirely locally.","This page is highly valuable as an educational and interactive tool, but its implementation relies entirely on hardcoded data and client-side logic. To improve its robustness and maintainability, integrate it with actual backend services to fetch historical data dynamically and persist user scenarios or preferences."
51,/portal/time-machine-ag49,TimeMachineAG49,portal_other,8,healthy,client_only,Keep,,0.95,client/src/pages/portal/TimeMachineAG49.tsx,"The page implements a sophisticated financial calculator (Time Machine AG49) with extensive logic for generational transfers and simulations, but it lacks actual backend integration, operating purely on client-side state. The presence of `useCalculatorIntegration` and `ClientSelectorBar` suggests an intended connection to backend data, but the core calculation `runTimeMachineSimulation` and state management are entirely client-side. The page has significant functionality and a unique workflow, justifying its retention and improvement.","Since this page provides a complex, differentiated calculator (Time Machine AG49) with high value and relies heavily on client-side state without a true backend integration, keep the page but improve it by connecting it to the backend for saving/loading scenarios and real persistence."
52,/portal/time-machine-method,TimeMachineMethod,portal_other,7,healthy,client_only,Improve,,0.9,client/src/pages/portal/TimeMachineMethod.tsx,"The page is a highly detailed, client-side calculator (1306 lines, 22 charts) using useState for inputs. It lacks any trpc queries or mutations, relying purely on client-side state and shared engine logic for its calculations.",Connect the calculator inputs and results to the backend to persist user scenarios and track usage. Review if the heavy logic can be moved to the server.
53,/portal/time-machine-calculator,TimeMachineCalculator,analysis_calculator,8,healthy,client_only,Keep,,0.95,client/src/pages/portal/TimeMachineCalculator.tsx,"The page is a robust, interactive client-side calculator that effectively models AG 49 compliant rates and historical comparisons. While it includes some hardcoded marketing blocks and fixed assumptions for loan arbitrage, the core computational logic is functional and provides significant value.",Retain the page as a primary client-facing tool. Consider moving hardcoded assumptions (like loan rates and arbitrage spreads) to a configurable backend or context to improve flexibility.
54,/portal/illustration-compare,IllustrationCompare,analysis_calculator,7,healthy,mixed_connected,Improve,,0.95,client/src/pages/portal/IllustrationCompare.tsx,"The page includes real tRPC mutations for file upload/delete and queries for list/status/comparison, indicating strong server behavior. However, it also relies heavily on simulated data arrays for charting (performanceData, distributionData, riskMetricsData, scatterData), showing mixed implementation.","Clean up hardcoded arrays (distributionData, riskMetricsData, scatterData) and mock loops (performanceData). Retain tRPC queries for list, status, compareWithEngine, and mutations for upload/delete."
55,/portal/premium-financing,PremiumFinancing,portal_other,9,healthy,mixed_connected,Keep,,0.95,client/src/pages/portal/PremiumFinancing.tsx,"The page is a robust, interactive financial projection tool with comprehensive data visualization and integrations. It relies on multiple TRPC queries and mutations, features dynamic calculation models like Monte Carlo simulations, and has no significant duplicate routes.",Maintain and keep up to date with any future financial modeling or regulatory changes.
56,/portal/policy-loans,PolicyLoans,portal_other,7,healthy,mixed_connected,Improve,,0.95,client/src/pages/portal/PolicyLoans.tsx,"The page utilizes real TRPC endpoints for optimizing and comparing policy loans, demonstrating genuine backend connectivity. However, it contains explicit dummy data tables and artificial padding to hit line count requirements, degrading its overall quality and maintainability.",Remove the dummy data tables and padding that were artificially added to hit line count requirements. Refine the page to focus purely on the functional TRPC-backed policy loan optimization tools.
57,/portal/carrier-ratings,CarrierRatings,portal_other,5,healthy,mixed_connected,Improve,,0.95,client/src/pages/portal/CarrierRatings.tsx,"The page connects to multiple tRPC endpoints for carriers and market data, but heavily supplements this with randomly generated metrics and over 1000 lines of dummy filler components. It shares its source with /portal/carrier-rates as a legitimate alias.",Replace the extensive client-side mock data generation (95 instances of Math.random) with real backend fields. Remove the dummy sections that artificially inflate the line count.
58,/portal/tax-waterfall,TaxWaterfall,portal_other,9,healthy,mixed_connected,Keep,,0.95,client/src/pages/portal/TaxWaterfall.tsx,"The page implements an essential differentiated workflow for tax optimization. It uses real tRPC queries for server-side calculations and has robust client-side charting, showing high value and healthy rendering.",Keep the page as it provides high value and uses server-side calculations. No specific action needed.
59,/portal/estate-tax,EstateTax,portal_other,9,healthy,mixed_connected,Keep,,0.95,client/src/pages/portal/EstateTax.tsx,"The page utilizes a tRPC query (`trpc.estateTax.calculateComprehensive.useQuery`) to calculate estate taxes, indicating backend connectivity for complex logic rather than just client-side estimation. It also integrates real user state through `useClientData()`, pulling live financial metrics to populate defaults, making it a highly useful workflow. No other routes share this component.",Keep the page as it provides a comprehensive institutional-grade estate tax analysis with complex scenario modeling and actual backend calculation integration. Ensure the backend tRPC route correctly processes all passed arguments and scales properly.
60,/portal/income-timeline,IncomeTimeline,portal_other,8,healthy,mixed_connected,Keep,,0.95,client/src/pages/portal/IncomeTimeline.tsx,"The page provides an essential, highly interactive income timeline visualization using multiple tRPC queries (e.g., getProfile, getLatestRates) and mutations (calculate, saveScenario). It handles local state effectively with real calculations and features numerous charts, although it includes some minor simulated elements like a random ID generator and padding lines.",Keep the page but consider optimizing the layout by removing the empty padding lines and ensuring the empty state handles TRPC loading correctly. Ensure that the risk profile and market data queries are utilized fully in the calculations.
61,/portal/iul-vs-roth,IULvsRoth,portal_other,8,healthy,mixed_connected,Keep,,0.9,client/src/pages/portal/IULvsRoth.tsx,"This page offers a high-value comparison workflow between IUL and Roth, featuring complex calculators, charts, and scenarios. It integrates with TRPC for some data but heavily relies on hardcoded logic, simulated states, and placeholder data.",Ensure all simulated states and hardcoded calculations are eventually backed by real backend services to improve reliability.
62,/portal/competitive,CompetitiveAnalysis,portal_other,4,healthy,client_only,Merge,/portal/calculators,0.85,client/src/pages/portal/CompetitiveAnalysis.tsx,"This is a heavy client-side calculator comparing IUL products using mostly hardcoded carrier data and simulated growth math. It has a high volume of charts and filler lines but relies on static logic rather than backend services, duplicating functionality that should live in a unified calculators suite.",Merge the competitive analysis visualizations and calculators into the primary calculator tools page to consolidate redundant tools. Extract the hardcoded carrier data to the backend.
